Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Kiko Milano Make Up Fixer + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896000825,9-4896003454,22.16,0,0,0.0
Kiko Milano Make Up Fixer + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896000825,9-4896004057,15.77,0,0,0.0
Kiko Milano 3D Hydra Lipgloss - Limited Edition 42 Charming Copper + Kiko Milano Pure Clean Toner 200 ml,9-4896004117,9-4896003805,16.53,0,0,0.0
Kiko Milano 3D Hydra Lipgloss - Limited Edition 42 Charming Copper + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896004117,9-4896003454,24.42,0,0,0.0
Kiko Milano 3D Hydra Lipgloss - Limited Edition 42 Charming Copper + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896004117,9-4896004057,18.04,0,0,0.0
Kiko Milano Long Lasting Colour Lip Marker 105 True Red + Kiko Milano Pure Clean Toner 200 ml,9-4896002367,9-4896003805,13.51,0,0,0.0
Kiko Milano Long Lasting Colour Lip Marker 105 True Red + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896002367,9-4896003454,21.4,0,0,0.0
Kiko Milano Long Lasting Colour Lip Marker 105 True Red + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896002367,9-4896004057,15.02,0,0,0.0
Shiseido UV Protective Compact Foundation SPF30 12 gr Medium Ivory + Shiseido Synchro Skin Self Refreshing Cushion Compact Shiseido Synchro Skin Self Refreshing Cushion Compact 230 Alder 13 gr,1084784,1054594,69.24,0,0,0.0
Shiseido UV Protective Compact Foundation SPF30 12 gr Medium Ivory + Shiseido Benefiance Eyecare Set,1084784,1083908,102.92,0,0,0.0
Shiseido UV Protective Compact Foundation SPF30 12 gr Medium Ivory + Shiseido Essential Energy Hydrating Day Cream Spf20 50 ml,1084784,1059574,83.62,3,0,0.0
Bvlgari Splendida Jasmin Noir EdP Bvlgari Splendida Jasmin Noir EdP 100 ml + Bvlgari Rose Goldea Blossom Delight Eau de Parfum Bvlgari Rose Goldea Blossom Delight Eau de Parfum 75 ml,1049600,1053480,145.54,0,0,0.0
